Category,Subcategory,Item,Description,Type,Priority,Status,Due Date,Notes,Risk Level,Validation Status
Asset Inventory,Asset Identity,Hostname,Hostname of the asset,Static,High,Completed,2026-01-02 09:09:14.870298,,Low,Not Validated
Asset Inventory,Asset Identity,IP addresses,IP address(es) and network range(s),Static,High,Completed,2026-01-02 09:09:14.870298,,Medium,Not Validated
Asset Inventory,Asset Identity,OS + version,Operating system and version,Static,High,Completed,2026-01-02 09:09:14.870298,,Medium,Not Validated
Asset Inventory,Asset Identity,Location,"Location (on-premises, cloud, hybrid)",Static,Medium,Pending,2026-01-02 09:09:14.870298,,Low,Not Validated
Asset Inventory,Asset Identity,Role,"Role (app server, DB, proxy, firewall, NAS, printer, etc.)",Static,High,In Progress,2026-01-02 09:09:14.870298,,Medium,Not Validated
Asset Inventory,Hardware Specifications,CPU specifications,CPU specifications,Static,High,Completed,2026-01-02 09:09:14.870298,,Low,Not Validated
Asset Inventory,Hardware Specifications,RAM specifications,RAM specifications,Static,Medium,Completed,2026-01-02 09:09:14.870298,,Low,Not Validated
Asset Inventory,Hardware Specifications,Storage specifications,Storage specifications,Static,Medium,Completed,2026-01-02 09:09:14.870298,,Low,Not Validated
Asset Inventory,Hardware Specifications,Server/device model,Server/device model,Static,Low,In Progress,2026-01-02 09:09:14.870298,,Low,Not Validated
Asset Inventory,Hardware Specifications,Virtual or physical,Virtual or physical deployment,Static,Medium,Completed,2026-01-02 09:09:14.870298,,Low,Not Validated
Asset Inventory,Hardware Specifications,Hypervisor,Hypervisor (if applicable),Static,Medium,In Progress,2026-01-02 09:09:14.870298,,Medium,Not Validated
Asset Inventory,Installed Software,List of packages/programs,List of packages/programs,Static,High,Completed,2026-01-02 09:09:14.870298,,High,Not Validated
Asset Inventory,Installed Software,Exact versions,Exact versions of software,Static,High,Completed,2026-01-02 09:09:14.870298,,High,Not Validated
Asset Inventory,Installed Software,Known dependencies,Known dependencies between software,Static,Medium,In Progress,2026-01-02 09:09:14.870298,,Medium,Not Validated
Asset Inventory,Installed Software,Firmware,"Firmware (for printers, routers, firewalls)",Static,Medium,In Progress,2026-01-02 09:09:14.870298,,Medium,Not Validated
Asset Inventory,Exposed Services,Open ports,Open ports on the asset,Static,Medium,Completed,2026-01-02 09:09:14.870298,,High,Not Validated
Asset Inventory,Exposed Services,Used protocols,Used protocols on open ports,Static,High,Completed,2026-01-02 09:09:14.870298,,High,Not Validated
Asset Inventory,Exposed Services,Active services and versions,Active services and their versions,Static,High,In Progress,2026-01-02 09:09:14.870298,,High,Not Validated
Asset Inventory,Additional Considerations,Interdependencies between assets,"Interdependencies between assets (e.g., app server → database server)",Static,High,Pending,2026-01-02 09:09:14.870298,,High,Not Validated
Asset Inventory,Additional Considerations,Asset lifecycle tracking,Asset lifecycle tracking (decommissioned or upgraded assets),Static,Medium,Pending,2026-01-02 09:09:14.870298,,Medium,Not Validated
System Configuration,OS Configuration,Authentication policies,Authentication policies,Static,High,Pending,2026-01-02 09:09:14.870298,,High,Not Validated
System Configuration,OS Configuration,Local firewall configuration,Local firewall configuration,Static,High,Pending,2026-01-02 09:09:14.870298,,High,Not Validated
System Configuration,OS Configuration,Enabled/disabled services,Enabled/disabled services,Static,Medium,Pending,2026-01-02 09:09:14.870298,,Medium,Not Validated
System Configuration,OS Configuration,Auto-start programs,Auto-start programs,Static,Medium,Pending,2026-01-02 09:09:14.870298,,Medium,Not Validated
System Configuration,User Management,Local users,Local users on the system,Static,High,Completed,2026-01-02 09:09:14.870298,,High,Not Validated
System Configuration,User Management,User groups,User groups,Static,High,Pending,2026-01-02 09:09:14.870298,,High,Not Validated
System Configuration,User Management,Permissions per user,Permissions per user,Static,High,Pending,2026-01-02 09:09:14.870298,,High,Not Validated
System Configuration,User Management,Admin roles,Admin roles,Static,Critical,Pending,2026-01-02 09:09:14.870298,,Critical,Not Validated
System Configuration,User Management,SSH keys,SSH keys,Static,Critical,Pending,2026-01-02 09:09:14.870298,,Critical,Not Validated
System Configuration,User Management,Password policies,Password policies,Static,High,Pending,2026-01-02 09:09:14.870298,,High,Not Validated
System Configuration,Sensitive Files,Critical paths,"Critical paths (/etc, logs, config files)",Static,High,Pending,2026-01-02 09:09:14.870298,,High,Not Validated
System Configuration,Sensitive Files,Folder permissions,Folder permissions,Static,High,Pending,2026-01-02 09:09:14.870298,,High,Not Validated
System Configuration,Sensitive Files,Server configs,"Server configs (nginx.conf, my.cnf, etc.)",Static,High,Pending,2026-01-02 09:09:14.870298,,High,Not Validated
System Configuration,Security Controls,Security patches and updates,Security patches and updates (focus on pending patches),Static,Critical,Pending,2026-01-02 09:09:14.870298,,Critical,Not Validated
System Configuration,Security Controls,Critical patches,Critical patches (zero-day vulnerabilities),Static,Critical,Pending,2026-01-02 09:09:14.870298,,Critical,Not Validated
System Configuration,Security Controls,System hardening,System hardening (baseline security configurations),Static,High,Pending,2026-01-02 09:09:14.870298,,High,Not Validated
Network Architecture,Topology,Subnets,Subnets,Static,High,Completed,2026-01-02 09:09:14.870298,,Medium,Not Validated
Network Architecture,Topology,VLANs,VLANs,Static,High,Pending,2026-01-02 09:09:14.870298,,Medium,Not Validated
Network Architecture,Topology,Gateways,Gateways,Static,High,In Progress,2026-01-02 09:09:14.870298,,Medium,Not Validated
Network Architecture,Topology,Routers and switches,Routers and switches,Static,Medium,Pending,2026-01-02 09:09:14.870298,,Medium,Not Validated
Network Architecture,Topology,NAT/PAT configurations,NAT/PAT configurations,Static,Medium,Pending,2026-01-02 09:09:14.870298,,Medium,Not Validated
Network Architecture,Topology,Security zones,"Security zones (DMZ, internal, guest, IoT)",Static,High,Pending,2026-01-02 09:09:14.870298,,High,Not Validated
Network Architecture,Firewalls,Firewall rules,"Rules (source, destination, protocol, action)",Static+Dynamic,Critical,Pending,2026-01-02 09:09:14.870298,,Critical,Not Validated
Network Architecture,Firewalls,Policies by zone,Policies by zone,Static,High,Pending,2026-01-02 09:09:14.870298,,High,Not Validated
